MAP 	PAP 	PAV 	MAV 	ID
18	18	11	17	289 
18	14	16	14	290 
21	18	15	11	291 
10	19	10	9	292 
19	15	12	10	293 
18	14	13	13	294 
21	21	12	14	295 
19	14	4	13	296 
15	18	14	17	297 
16	13	10	11	298 
19	16	11	15	299 
21	18	20	11	300 
18	20	12	15	301 
17	18	17	19	302 
10	11	12	14	303 
11	11	6	14	304 
21	17	16	13	305 
17	20	11	12	306 
17	20	17	15	307 
11	6	9	8	308 
15	12	14	9	309 
17	14	13	13	310 
17	16	6	13	311 
16	21	16	9	312 
18	13	10	14	313 
10	15	12	17	314 
21	21	11	5	315 
18	11	17	13	316 
20	18	13	9	317 
21	21	20	9	318 
18	17	19	18	319 
15	14	12	14	320 
18	21	13	17	321 
20	17	4	14	322 
21	21	10	12	323 
17	3	3	3	324 
21	19	17	18	325 
18	19	8	9	326 
19	17	17	21	327 
12	15	7	16	328 
12	15	15	11	329 
16	16	11	16	330 
10	10	7	11	331 
15	10	11	7	332 
16	5	18	4	333 
17	18	14	13	334 
21	21	3	15	335 
19	17	3	17	336 
20	16	16	13	337 
20	15	9	17	338 
16	14	13	11	339 
15	17	13	16	340 
21	18	13	14	341 
17	13	21	15	342 
17	21	12	5	343 
17	8	16	13	344 
20	5	14	7	345 
11	12	12	13	346 
20	20	6	6	347 
15	10	8	6	348 
17	20	10	14	349 
15	21	19	20	350 
9	18	10	17	351 
15	13	11	16	352 
7	8	15	11	353 
12	21	15	16	354 
16	16	5	12	355 
11	17	8	6	356 
19	15	10	13	357 
6	11	6	9	358 
21	18	6	13	359 
17	15	12	13	360 
15	8	13	13	361 
17	20	12	12	362 
19	21	12	19	363 
13	12	10	11	364 
18	20	10	8	365 
19	19	19	12	366 
15	6	7	3	367 
11	17	5	9	368 
16	13	13	14	369 
14	15	14	14	370 
13	15	10	14	371 
16	16	10	17	372 
9	12	5	11	373 
19	21	9	21	374 
13	18	19	20	375 
13	14	16	14	376 
14	15	7	11	377 
19	19	6	17	378 
16	15	13	15	379 
17	16	16	13	380 
11	9	12	10	381 
13	15	17	18	382 
20	15	10	10	383 
15	12	10	12	384 
19	15	15	13	385 
15	18	13	15	386 
18	21	7	9	387 
16	16	9	14	388 
21	3	14	3	389 
14	16	11	13	390 
18	15	13	13	391 
16	16	10	10	392 
21	21	14	19	393 
16	15	6	10	394 
11	14	12	16	395 
18	18	19	19	396 
20	21	14	14	397 
13	10	13	15	398 
16	18	15	17	399 
19	14	15	12	400 
13	5	8	11	401 
14	13	13	12	402 
19	14	11	17	403 
